Distance(km),Fuel Type,Location,Manufacturing Year,Price in INR,Make,Model
48200.0,Diesel,NA,2016.0,3200000.0,Audi,Q3 35 TDI Technology
55310.0,  Diesel  ,   Mumbai  ,2013.0,245000.0,Audi,Q3 2.0 TDI quattro
30120.0,  Diesel  ,   Nadia  ,2013.0,255000.0,Audi,Q3 2.0 TDI quattro
98000.0,  Diesel  ,   New Delhi  ,2011.0,249900.0,Audi,A8 L- 2013 3.0 TDI quattro
42000.0,  Diesel  ,   New Delhi  ,2009.0,220000.0,Audi,A8 (2003 - 2010) 3.0 TDi
41000.0,  Diesel  ,   New Delhi  ,2009.0,265000.0,Audi,A8 (2003 - 2010) 3.0 TDi
16000.0,  Diesel  ,   New Delhi  ,2014.0,215000.0,Audi,Q3 [2012-2015] 2.0 TDI quattro Premium Plus
69000.0,  Diesel  ,   Mumbai  ,2011.0,280000.0,Audi,A7 Sportback 3.0 TDI quattro
24510.0,  Diesel  ,   Mumbai  ,2014.0,286500.0,Audi,A6 2011-2015 3.0 TDI quattro
56500.0,  Diesel  ,   Navi Mumbai  ,2013.0,198000.0,Audi,A6 2011-2015 2.0 TDI
72000.0,  Diesel  ,   Pune  ,2013.0,200000.0,Audi,A6 2011-2015 2.0 TDI
29000.0,  Diesel  ,   New Delhi  ,2014.0,279900.0,Audi,A6 2011-2015 2.0 TDI
54303.0,  Diesel  ,   Mumbai  ,2013.0,215000.0,Audi,A6 2011-2015 2.0 TDI
29000.0,  Diesel  ,   New Delhi  ,2014.0,280000.0,Audi,A6 2011-2015 2.0 TDI
43000.0,Diesel,NA,2014.0,2190000.0,Audi,A6 2.0 TDI Premium+
85000.0,Diesel,NA,2012.0,2100000.0,Audi,A6 2.0 TDI Premium
32000.0,Diesel,NA,2012.0,3650000.0,Audi,A7 Sportback 3.0 TDI q...
28000.0,  Diesel  ,   Bangalore  ,2015.0,380000.0,Audi,Q3 [2012-2015] 35 TDI Premium Plus
45000.0,  Diesel  ,   Gurgaon  ,2014.0,275000.0,Audi,Q5 (2012-2018) 3.0 TDI quattro Technology Pack
77000.0,Diesel,NA,2014.0,3200000.0,Audi,Q5 2.0 TDI quattro Pre...
20000.0,  Petrol  ,   New Delhi  ,2011.0,409900.0,Audi,RS 5 Coupe
50000.0,  Diesel  ,   Rudrapur  ,2013.0,320000.0,Audi,Q7 [2010-2015] 35 TDI Premium Plus + Sunroof
41420.0,  Diesel  ,   Mumbai  ,2014.0,425000.0,Audi,Q7 [2010-2015] 35 TDI Premium + Sunroof
120000.0,  Petrol  ,   New Delhi  ,2012.0,239000.0,Audi,Q7 [2010-2015] 3.0 TFSI quattro
23000.0,  Diesel  ,   New Delhi  ,2013.0,375000.0,Audi,Q7 [2010-2015] 3.0 TDI quattro Premium
60000.0,  Diesel  ,   New Delhi  ,2011.0,275000.0,Audi,Q7 [2010-2015] 3.0 TDI quattro Premium
85000.0,  Diesel  ,   New Delhi  ,2012.0,230000.0,Audi,Q7 3.0 TDI quattro Premium
42000.0,  Diesel  ,   New Delhi  ,2014.0,440000.0,Audi,Q7 ( 2009 – 2014 ) 3.0 tdi
